P0,P1,P2,P3,P4,P5,P6,P7,P8,P9
14.26,38.55,44.94,54.06,44.722,52.47,73.876,65.875,72.628,62.118
37.0885,43.871,37.212,54.297,60.106,48.103,74.388,66.701,70.815,54.48
28.09,,44.588,52.396,52.562,65.123,67.17,67.658,68.86,54.778
33.8655,,49.172,37.122,49.087,64.118,57.281,65.123,61.0477,69.284
,,63.735,46.0667,57.9,55.67,67.54,,65.04,67.784
,,50.581,,59.098,57.4283,63.24,,72.1122,58.15
,,45.88,,62.013,,64.9334,,,67.8102
,,,,60.084,,71.4704,,,
,,,,54.72,,62.514,,,
,,,,63.98,,,,,
,,,,69.8186,,,,,
,,,,57.7806,,,,,
