P0,P1,P2,P3,P4,P5,P6,P7,P8,P9
-39.921,-48.7564,-47.777,-51.37,-46.353,-44.074,-48.745,-45.479,-49.135,-49.201
-39.4171,-44.7721,-46.745,-45.83,-48.784,-41.551,-49.189,-46.231,-50.063,-49.48
-45.664,,-51.091,-45.41,-45.071,-48.433,-46.66,-46.282,-49.45,-45.475
-43.4476,,-45.28,-44.77,-47.414,-51.75,-46.8,-46.998,-46.003,-50.972
,,-52.357,-46.24,-49.45,-48.3669,-47.22,,-51.7361,-45.855
,,-45.073,,-44.972,-44.6089,-45.397,,-48.0169,-45.8713
,,-44.93,,-49.49,,-47.1048,,,-48.3491
,,,,-44.258,,-49.1493,,,
,,,,-42.55,,-47.8667,,,
,,,,-50.455,,,,,
,,,,-49.3539,,,,,
,,,,-46.8652,,,,,
