P0,P1,P2,P3,P4,P5,P6,P7,P8,P9
3.03,44.905,74.321,88.179,69.408,366.95,217.26,241.49,273.61,211.11
16.366,62.75,53.768,148.07,124.26,177.81,302.69,225.55,255.1,96.688
35.01,,76.528,123.15,70.528,310.03,202.86,236.69,290.051,156.13
50.091,,116.34,87.078,103.57,138.56,127.29,244.6,244.921,199.96
,,135.44,101.586,143.13,173.98,216.3,,187.823,246.19
,,80.428,,174.12,198.816,189.89,,303.179,205.213
,,91.57,,152.65,,242.312,,,276.774
,,,,186.08,,279.163,,,
,,,,150.4,,225.045,,,
,,,,141.66,,,,,
,,,,228.276,,,,,
,,,,154.725,,,,,
