Rp,Rs,Cp,Seal (G?),Leak Before pA,Leak After pA,V membrane,Rinput SAG 1st,Rinput SS 1st,Rinput Ratio,Rinput -5 to +5mV,Rinput SS by 0pA,Tau Membrane -10pA,Sag Peak (-80pA),SS (-80pA),Sag Ratio,Sag (?mV) (-80pA),Sag (?mV) (-95mV),Sag (-100mV),Sag Proportion,?mV,Rheobase pA,AP Threshold (20V.s-1),AP Amplitude (from threshold),HW (ms),Latency (ms),fAHP (Thr-AHP peak),Max rate of rise,dVdt,RMP 1st sweep,dV''dt,dV'''dt,Age
3.5,<20,24.44,>10,-3,-2,-72.8369,1.6534,0.3631,0.21960808,1.46223,1.36072,36.569,-174.309,-130.451,0.748389355,43.858,-2.5667,-2.0091,0.251610645,103.5225,50,-39.921,14.26,9.8,29.06,0,3.03,1.6525,-70.7865,-39.921,-39.921,0
3.5,15,22.03,>10,-3,-20,-65.4953,1.7589,0.2455,0.139575871,3.06732,2.93099,78.88,-198.901,-145.98,0.733932962,52.921,-2.5122,-6.5747,0.266067038,128.4153,5,-39.4171,37.0885,4.34338,113.07,15.3059,16.366,8.17296,-70.4857,-37.438,-40.457,0
0,0,20.46965437,0,0,0,-72.2644,1.2365,0.6308,0.510149616,1.62951,1.2094,24.756,-139.463,-121.73,0.872847996,17.733,0.2036,0.4417,0.127152004,78.262,5,-45.664,28.09,4.65,112.76,8.536,35.01,8.90326,-61.201,-47.401,-40.457,0
3.6,12.1,19.78,13,-2,0,-70.3166,0.9518,0.24365,0.255988653,1.0458,1.26088,45.59,-130.166,-108.4703,0.833322834,21.6957,0.4253,4.4078,0.166677166,60.5517,30,-43.4476,33.8655,1.69,26.787,21.2874,50.091,7.40397,-69.6143,-41.88,-43.4476,0
3.5,-,31.17,>10,-3,14,-72.7954,1.3552,0.63644,0.469628099,-0.14265,1.0556,48.113,-130.853,-109.8958,0.839841654,20.9572,-6.0922,0.9731,0.160158346,58.0576,10,-48.7564,38.55,3.24,163,11.2136,44.905,4.98546,-78.2368,-46.97,-49.6395,1
3.6,11,32.5,10,-3,9,-74.5586,0.76616,0.20924,0.273102224,0.62633,0.60204,24.32,-120.617,-100.2146,0.830849714,20.4024,4.0093,7.2391,0.169150286,45.5767,70,-44.7721,43.871,2.1,26.705,19.2469,62.75,8.62805,-75.0403,-42.741,-44.7721,1
3.5,16.3,27.57,> 10,-4,14,-76.9915,0.773,0.32487,0.420271669,0.96761,0.83058,43.091,-135.557,-106.3135,0.784271561,29.2435,2.6898,3.9511,0.215728439,58.5655,25,-47.777,44.94,2.18,47.528,12.307,74.321,11.4704,-77.7892,-45.005,-47.5736,2
3.5,14.2,14.68,>2,-17,-25,-62.438,0.93474,0.09595,0.102648865,0.79609,0.78184,50.78,-113.616,-106.1154,0.93398289,7.5006,0.7618,-1.1887,0.06601711,51.178,15,-46.745,37.212,2.9,22.455,14.502,53.768,14.8245,-55.017,-43.315,-45.5605,2
3.25,10.7,20.51,>10,-4,2,-63.8305,0.9692,1.16294,1.199896822,1.28285,1.26918,51.283,-138.653,-120.887,0.871867179,17.766,3.1384,9.6235,0.128132821,74.8225,20,-51.091,44.588,2.15,23.957,13.619,76.528,5.72316,-64.6907,-49.242,-51.2422,2
3.3,20.4,30.12,>10,-6,8,-76.4028,1.4863,0.80819,0.543759672,0.89664,0.75732,33.707,-131.389,-109.5903,0.834090373,21.7987,4.1925,8.7026,0.165909627,54.9862,40,-45.28,49.172,1.85,35.2,10.61,116.34,16.4362,-77.2719,-41.28,-45.0601,2
