P0,P1,P2,P3,P4,P5,P6,P7,P8,P9
1.46223,-0.14265,0.96761,0.82702,1.0731,0.21223,0.29127,0.75782,0.53294,0.48493
3.06732,0.62633,0.79609,0.84374,0.69101,0.07585,0.51955,0.36072,0.32276,0.44376
1.62951,,1.28285,0.63472,1.09136,0.19794,0.53576,0.42656,0.3051,0.49651
1.0458,,0.89664,0.93688,0.30654,0.45863,0.36372,0.19519,0.28134,0.44049
,,1.42672,0.68581,0.26034,0.53294,0.40419,,0.27149,0.3662
,,1.23652,,0.37235,0.47926,0.5643,,0.34799,0.38151
,,0.58877,,0.58127,,0.51654,,,0.38124
,,,,0.34674,,0.56573,,,
,,,,0.39759,,0.52357,,,
,,,,0.71305,,,,,
,,,,0.54208,,,,,
,,,,0.8919,,,,,
