P0,P1,P2,P3,P4,P5,P6,P7,P8,P9
1.6534,1.3552,0.773,0.4686,0.8187,0.25927,0.29424,0.2951,0.5294,0.3682
1.7589,0.76616,0.93474,0.8171,0.4599,0.27813,0.5112,0.31575,0.55513,0.38122
1.2365,,0.9692,0.5497,0.8258,0.30172,0.63922,0.513567143,0.41869,0.5208
0.9518,,1.4863,0.7795,0.43011,0.6462,0.55848,0.45179,0.23433,0.42156
,,1.6629,0.9366,0.38838,0.46559,1.3425,,0.37724,0.41045
,,0.6497,,0.64212,0.65882,0.77915,,0.59622,0.37737
,,0.8695,,0.69926,,0.61867,,,0.47557
,,,,0.79083,,0.4124,,,
,,,,0.64964,,0.5941,,,
,,,,1.1598,,,,,
,,,,0.8494,,,,,
,,,,0.9259,,,,,
