P0,P1,P2,P3,P4,P5,P6,P7,P8,P9
-2.5667,-6.0922,2.6898,0.6238,0.8158,8.4018,1.275,1.6172,3.6772,1.5996
-2.5122,4.0093,0.7618,5.1856,5.089,4.879,4.4731,0.5838,5.6901,4.431
0.2036,,3.1384,3.331,0.9107,10.687,7.0271,1.7723,1.944,5.866
0.4253,,4.1925,3.6188,7.122,4.3801,6.5028,3.42,2.5064,-0.2543
,,-2.709,0.2902,1.8692,7.7372,5.1693,,1.9581,-0.7818
,,-0.6702,,5.4468,2.7891,6.0276,,3.2657,-0.1429
,,0.8533,,2.0016,,-0.643,,,-0.3116
,,,,5.6358,,2.3362,,,
,,,,9.8883,,3.9672,,,
,,,,-1.5534,,,,,
,,,,4.7413,,,,,
,,,,4.5039,,,,,
