P0,P1,P2,P3,P4,P5,P6,P7,P8,P9
0.251610645,0.160158346,0.215728439,0.237609052,0.224291819,0.120568157,0.064672868,0.118812059,0.087221849,0.101403317
0.266067038,0.169150286,0.06601711,0.256598618,0.195752738,0.057722021,0.120223513,0.039386432,0.087742642,0.13191728
0.127152004,,0.128132821,0.178331829,0.290939576,0.12856865,0.169919798,0.057228061,0.065782337,0.144591791
0.166677166,,0.165909627,0.140576576,0.089176954,0.144061978,0.135432589,0.093514233,0.026318719,0.047621076
,,0.212515493,0.058591879,0.019823905,0.140377682,0.166720107,,0.03199223,0.028174545
,,0.094672444,,0.1453384,0.126869925,0.170243785,,0.080677076,0.006813904
,,0.140436297,,0.105483524,,0.027033159,,,0.006220975
,,,,0.14850612,,0.088293992,,,
,,,,0.176796621,,0.148712868,,,
,,,,0.202936645,,,,,
,,,,0.224019816,,,,,
,,,,0.225899193,,,,,
