Cell_ID,ID,Firing_Pattern,Input_Resistance,Tau_Membrane,Threshold_Current,AP_Halfwidth,Max_DepolRate,Max_RepolRate,AP_Amplitude,Voltage_Threshold,RMP,Sag_90mV,Latency,Depol_Block,Spikes_200pA
05302025_S1C1,P2_TeNT,Tonic,0.6583,37.037,20,1.06475,101.686,-48.3161,41.4989,-44.5647,-66.0046,1.491,,1,18
05302025_S1C3,P2_TeNT,Tonic,0.6028,26.225,40,0.907434,174.353,-50.0456,47.7118,-46.0015,-70.3672,2.598177118,,1,25
05302025_S2C1,P2_TeNT,Tonic,0.6246,32.98,10,1.11364,87.8728,-49.3685,44.1228,-37.8829,-54.6793,3.780240291,,1,23
05302025_S1C2,P2_iMNTB,Tonic,0.3035,14.234,130,0.773045,160.497,-67.1611,49.3508,-45.1066,-73.3931,7.009386018,,1,12
05302025_S2C2,P2_iMNTB,Tonic,0.3882,17.202,60,0.861277,147.926,-64.5396,52.8704,-44.543,-74.5073,3.560316243,,1,25
12122022_S1C1,P4_TeNT,Tonic,0.3925,10.98,40,0.648458,271.399,-96.2018,59.5982,-46.5523,-66.67,5.885,5.79424,1,32
12292022_S2C1,P4_TeNT,Tonic,0.4778,16.18,20,0.762477,124.358,-75.8665,43.7366,-44.2685,-71.43,5.358,9.88414,1,27
12272023_S1C1,P4_TeNT,Tonic,0.4883,20.97,30,0.822825,111.062,-62.5703,39.7008,-35.0081,-61.56,10.267,7.54069,1,17
12272023_S1C3,P4_TeNT,Tonic,0.567,21.37,20,0.980918,140.818,-47.5152,40.7735,-45.8785,-72.24,6.002,10.1595,1,15
12272023_S2C1,P4_TeNT,Tonic,0.6585,21.64,30,0.630458,202.571,-91.509,47.8975,-45.0193,-77.62,0.185,18.8365,2,27
01012024_S1C2,P4_TeNT,Tonic,0.6273,25,30,0.612112,267.488,-90.7269,56.0942,-43.5489,-70.12,3.104,8.47375,1,34
01012024_S2C2,P4_TeNT,Tonic,0.5028,25.54,20,0.845012,183.8,-62.5703,48.7735,-38.95,-65.26,9.343,11.5537,1,27
01012024_S2C3,P4_TeNT,Tonic,0.4145,13.96,40,0.844223,163.465,-67.263,54.8116,-43.6428,-64.54,9.569,8.53043,2,26
01212024_S1C1,P4_TeNT,Tonic,0.3895,23.71,20,0.799131,205.7,-69.6094,56.9702,-39.169,-60.14,6.658,6.87286,1,22
01212024_S1C3,P4_TeNT,Tonic,0.6148,32.13,20,0.916378,146.258,-64.9166,48.273,-39.0751,-66.11,2.15,13.7989,1,26
01212024_S2C1,P4_TeNT,Tonic,0.6563,29.47,20,0.877169,141.565,-61.7881,43.3612,-35.2583,-64.2,8.365,12.699,1,29
01212024_S2C3,P4_TeNT,Tonic,0.4325,18.65,35,0.621975,249.499,-84.4699,52.5903,-43.2986,-73.12,3.736,21.8063,2,34
01212024_S2C5,P4_TeNT,Tonic,0.3925,15.21,60,0.559896,295.645,-99.3303,57.0641,-38.6684,-68.56,7.479,8.3998,1,33
04092024_S1C1,P4_TeNT,Tonic,0.4415,17.71,20,0.877256,187.66,-58.6085,50.5611,-48.0135,-69.53,3.588,28.7146,2,25
11042024_S1C1,P4_TeNT,Phasic,0.162,9.92,180,0.645179,220.56,-82.1235,48.6797,-42.0159,-73.36,7.81,6.30636,1,2
11042024_S1C3,P4_TeNT,Tonic,0.2838,13.9,90,0.825159,257.32,-68.8273,51.245,-29.189,-61.26,13.7,8.70471,2,26
11122024_S1C1,P4_TeNT,Tonic,0.316,17.33,50,1.05795,168.94,-44.5813,44.2059,-46.0517,-69.55,9.033,8.36818,1,12
11122024_S2C2,P4_TeNT,Tonic,0.3043,11.52,90,0.567239,223.689,-100.112,51.4328,-38.293,-64.94,5.094,5.76314,2,38
11252024_S1C1,P4_TeNT,Tonic,0.2918,16.64,50,0.572302,265.141,-89.9448,53.216,-40.483,-71.98,5.842,11.8229,2,23
11252024_S2C1,P4_TeNT,Tonic,0.4358,15.52,70,0.688335,168.158,-71.9558,43.5489,-40.045,-73.84,4.205,6.93742,1,32
12172024_S2C1,P4_TeNT,Tonic,0.5258,20.67,40,0.667837,236.985,-83.6877,58.0965,-48.8361,-73.21,4.478,8.3785,1,23
12122022_S1C2,P4_iMNTB,Tonic,0.2125,8.88,160,0.530047,268.049,-86.8625,47.5529,-40.5379,-75.23,5.42,6.71753,1,22
12292022_S1C1,P4_iMNTB,Tonic,0.4645,22.12,60,0.741028,161.118,-75.8664,46.6461,-43.2986,-65.06,5.491,6.06216,1,22
12292022_S1C2,P4_iMNTB,Tonic,0.2253,9.81,100,0.536739,286.259,-97.7661,55.625,-44.8316,-76.27,5.259,6.94105,1,21
02012023_S1C1,P4_iMNTB,Tonic,0.3008,11.38,180,0.552444,363.69,-87.5984,45.3322,-45.3322,-80.06,2.944,7.01604,1,18
02012023_S1C2,P4_iMNTB,Tonic,0.2253,10.68,140,0.434111,344.137,-112.626,51.4328,-42.1098,-74.1,6.496,6.61339,2,32
12272023_S1C4,P4_iMNTB,Tonic,0.309,10.43,50,0.679498,162.683,-79.7771,45.426,-42.9858,-76.36,4.215,11.7888,1,21
12272023_S2C2,P4_iMNTB,Tonic,0.2418,10.03,135,0.623606,316.762,-76.6486,44.769,-44.6752,-76.05,4.611,6.52291,2,21
12272023_S3C2,P4_iMNTB,Tonic,0.4685,15.46,50,0.642792,212.739,-86.8163,48.5232,-40.8897,-62.84,7.315,4.29391,1,20
