P0,P1,P2,P3,P4,P5,P6,P7,P8,P9
-39.921,-49.6395,-47.5736,-52.0469,-43.1661,-47.6501,-48.6137,-45.6928,-49.7071,-49.8301
-40.457,-44.7721,-45.5605,-45.6178,-45.8647,-42.0021,-52.4316,-46.5426,-50.9376,-50.3557
-40.457,,-51.2422,-45.6287,-45.8107,-48.8252,-47.3002,-46.4918,-49.4549,-45.4752
-43.4476,,-45.0601,-44.7759,-47.5822,-52.4049,-47.7031,-49.0474,-46.0034,-51.0265
,,-52.8677,-46.2403,-49.7678,-48.367,-47.4991,,-51.7361,-45.3034
,,-45.283,,-45.4268,-44.6089,-45.723,,-48.0169,-45.8713
,,-44.9319,,-50.0508,,-47.1048,,,-48.3491
,,,,-44.6577,,-49.1493,,,
,,,,-42.8441,,-47.8667,,,
,,,,-50.2693,,,,,
,,,,-49.35,,,,,
,,,,-46.87,,,,,
