P0,P1,P2,P3,P4,P5,P6,P7,P8,P9
-39.921,-46.97,-45.005,-48.527,-42.632,-42.793,-39.406,-37.829,-41.9259,-41.6281
-37.438,-42.741,-43.315,-40.964,-45.392,-36.774,-44.536,-37.3186,-43.6566,-47.8626
-47.401,,-49.242,-42.315,-39.416,-42.812,-39.818,-38.4656,-40.3709,-40.3235
-41.88,,-41.28,-42.606,-44.295,-48.337,-43.493,-41.6814,-38.1141,-42.8552
,,-49.315,-43.088,-45.953,-43.58,-41.195,,-43.1655,-36.4448
,,-42.896,,-40.951,-38.012,-39.995,,-38.7674,-39.0447
,,-41.991,,-45.331,,-40.025,,,-39.715
,,,,-39.669,,-40.994,,,
,,,,-37.423,,-41.973,,,
,,,,-44.635,,,,,
,,,,-40.877,,,,,
,,,,-40.982,,,,,
