P0,P1,P2,P3,P4,P5,P6,P7,P8,P9
0,11.2136,12.307,11.24,19.662,14.036,23.525,28.579,23.495,25.418
15.3059,19.2469,14.502,15.85,14.988,16.359,21.834,28.571,22.567,16.392
8.536,,13.619,17.76,19.588,15.042,18.22,23.727,23.18,20.135
21.2874,,10.61,13.4,18.236,30.89,16.532,24.727,24.997,18.271
,,10.253,17.298,17.74,18.7431,20.402,,19.6139,29.716
,,14.117,,13.408,21.4781,22.123,,17.4121,21.8957
,,18.16,,17.75,,22.8812,,,25.0009
,,,,16.002,,18.8107,,,
,,,,19.11,,18.1173,,,
,,,,16.876,,,,,
,,,,19.6591,,,,,
,,,,19.8788,,,,,
