P0,P1,P2,P3,P4,P5,P6,P7,P8,P9
103.5225,58.0576,58.5655,63.8067,62.8337,25.7926,29.1814,42.9434,32.8731,37.7483
128.4153,45.5767,51.178,62.0037,44.3063,15.4509,40.4317,29.4756,31.8318,36.2383
78.262,,74.8225,46.8375,69.9976,20.1792,41.5083,32.9263,28.4421,37.462
60.5517,,54.9862,50.0618,35.0282,43.7823,34.9978,29.5825,21.409,38.3211
,,81.345,51.16,28.6471,38.3827,52.8676,,24.3696,35.1309
,,63.8429,,36.3497,37.9399,42.3976,,30.3554,30.2648
,,46.371,,44.8267,,39.4279,,,32.7229
,,,,38.9114,,41.4769,,,
,,,,36.3214,,43.2171,,,
,,,,67.8069,,,,,
,,,,51.4596,,,,,
,,,,53.3647,,,,,
