Dim.1,Dim.2,Dim.3,ID,Firing Pattern,Cell ID
0.35620283,0.586669124,-1.278236407,P9_iMNTB,Phasic,08122022_S1C2
2.377942611,0.812252722,0.045666697,P9_iMNTB,Phasic,08122022_S1C3
0.45802386,0.923926167,0.367806822,P9_iMNTB,Phasic,08122022_S2C1
0.946392882,-1.306223981,2.408348383,P9_iMNTB,Phasic,08122022_S2C2
-0.799948674,2.920008144,0.326112835,P9_iMNTB,Phasic,03232022_S1C3
3.293725492,1.099264076,-1.638534625,P9_iMNTB,Phasic,03232022_S1C4
0.648359536,0.911779362,-2.641174879,P9_iMNTB,Phasic,10142022_S1C2
-0.486685268,-3.184500259,0.941058893,P9_iMNTB,Tonic,10142022_S1C3
0.758521184,0.303652328,0.228687796,P9_iMNTB,Phasic,12172022_S2C2
3.417455569,-0.808798139,0.858329692,P9_iMNTB,Phasic,12172022_S2C3
-1.454738567,0.384090295,0.500062033,P9_iMNTB,Tonic,02062024_S2C2
-3.759468824,1.52949288,-1.20325868,P9_iMNTB,Phasic,02062024_S3C1
0.025658112,1.539480693,1.756948508,P9_iMNTB,Phasic,02072024_S2C1
-2.597950841,1.101833976,-0.041486847,P9_iMNTB,Phasic,02072024_S2C2
-0.288087332,2.091668359,1.631483343,P9_iMNTB,Phasic,02072024_S3C2
-1.05979669,-0.929034714,-0.714308428,P9_iMNTB,Phasic,02072024_S3C3
2.310371879,-2.110703756,-0.695371572,P9_iMNTB,Phasic,04142024_S1C2
-1.368688685,-3.46558295,-1.686533267,P9_iMNTB,Phasic,12232024_S1C2
-2.777289074,-2.399274325,0.834399702,P9_iMNTB,Tonic,12232024_S1C4
6.034679325,2.414617094,1.101336795,P9_TeNT,Tonic,08122022_S1C1
2.768509489,0.064917667,4.170079537,P9_TeNT,Tonic,08122022_S1C4
-0.696010275,-1.388298409,4.104564949,P9_TeNT,Tonic,03232022_S1C1
1.284856817,2.270827331,1.051649548,P9_TeNT,Tonic,03232022_S1C2
2.776547588,-1.130051134,3.307697223,P9_TeNT,Tonic,10142022_S1C1
2.926379012,-3.254313723,2.115069981,P9_TeNT,Tonic,12172022_S1C1
-1.857535523,1.843904296,0.857514945,P9_TeNT,Tonic,12172022_S2C1
-0.288824864,-1.637372505,2.457474554,P9_TeNT,Tonic,12172022_S2C4
0.873569805,-1.683394089,0.487635738,P9_TeNT,Tonic,12172022_S3C1
3.239407702,-0.205047539,-0.614540906,P9_TeNT,Tonic,02062024_S1C1
1.210596645,1.588550207,2.908613461,P9_TeNT,Tonic,02062024_S4C1
-2.365056633,1.144677325,1.164297524,P9_TeNT,Tonic,02072024_S1C1
-0.432093052,3.013666043,3.553494025,P9_TeNT,Tonic,02072024_S3C1
1.802698997,3.275676546,3.385138104,P9_TeNT,Tonic,02132024_S1C1
3.007227961,-2.447149078,1.74243551,P9_TeNT,Tonic,04142024_S1C1
-0.847189892,0.027403164,1.322502384,P9_TeNT,Tonic,12232024_S1C1
1.879299765,-2.454015717,2.680198711,P9_TeNT,Tonic,12232024_S2C3
4.262147931,-7.629030394,4.91081318,P6_TeNT,Tonic,03032022_S1C2
1.610529033,0.612390575,0.933250733,P6_TeNT,Tonic,03172022_S1C1
5.464023877,-2.76550679,0.154624557,P6_TeNT,Tonic,03202022_S1C1
3.646457993,-2.52599227,2.950551026,P6_TeNT,Tonic,03282022_S1C1
2.373480391,-5.331413889,0.757535919,P6_TeNT,Tonic,06142022_S1C1
7.936742144,-7.159590551,5.952591423,P6_TeNT,Tonic,06142022_S1C2
0.994415156,-2.239779739,1.581809953,P6_TeNT,Tonic,06142022_S2C1
1.384673452,-0.090496623,2.935990454,P6_TeNT,Tonic,10122022_S3C1
4.350027949,0.533215211,-0.149256469,P6_TeNT,Tonic,12312022_S1C1
3.375198507,-4.732662592,4.658040857,P6_TeNT,Tonic,12312022_S1C3
5.116985649,0.599016852,4.443352532,P6_TeNT,Tonic,12312022_S2C1
5.758797152,-1.401139678,1.523637181,P6_TeNT,Tonic,12292023_S1C1
3.120425369,0.187756867,1.929612146,P6_TeNT,Tonic,12292023_S1C3
1.41869712,-2.264863715,-0.114192733,P6_TeNT,Tonic,12292023_S2C1
7.813299281,-4.275753632,1.953798427,P6_TeNT,Tonic,01182024_S1C1
3.792093695,0.690253297,4.878885168,P6_TeNT,Tonic,01232024_S1C1
