P0,P1,P2,P3,P4,P5,P6,P7,P8,P9
-70.7865,-78.2368,-77.7892,-72.8253,-75.919,-75.8108,-77.6532,-79.5206,-76.4424,-75.8397
-70.4857,-75.0403,-55.017,-79.2683,-77.6236,-68.1896,-70.2197,-81.6515,-71.7313,-76.2716
-61.201,,-64.6907,-80.5475,-74.9294,-75.3153,-73.9497,-76.7262,-79.2251,-72.3091
-69.6143,,-77.2719,-75.7152,-61.7939,-77.0997,-75.8256,-76.9446,-73.8236,-76.7309
,,-80.0919,-80.377,-65.6431,-72.8166,-78.1184,,-74.37,-76.4024
,,-82.1884,,-75.673,-78.2011,-78.1184,,-76.9353,-82.8862
,,-78.7369,,-74.9503,,-79.5741,,,-82.6931
,,,,-75.0536,,-78.8801,,,
,,,,-72.9963,,-76.3899,,,
,,,,-75.6221,,,,,
,,,,-77.9294,,,,,
,,,,-78.1143,,,,,
