P0,P1,P2,P3,P4,P5,P6,P7,P8,P9
0.3631,0.63644,0.32487,0.26405,0.22593,0.29195,0.14119,0.39138,0.43508,0.1931
0.2455,0.20924,0.09595,0.32677,0.1436,0.19602,0.15064,0.21183,0.26449,0.17204
0.6308,,1.16294,0.57604,0.15392,0.10807,0.28177,0.52415,0.20112,0.10445
0.24365,,0.80819,0.4354,0.2247,0.36303,0.26361,0.22111,0.15621,0.31112
,,0.588,0.8209,0.28093,0.09529,0.5128,,0.25716,0.29455
,,0.8546,,0.17949,0.22915,0.27618,,0.26749,0.34017
,,0.24796,,0.35282,,0.4605,,,0.51005
,,,,0.2607,,0.33825,,,
,,,,0.20268,,0.24074,,,
,,,,0.29719,,,,,
,,,,0.29713,,,,,
,,,,0.23392,,,,,
