P0,P1,P2,P3,P4,P5,P6,P7,P8,P9
1.36072,1.0556,0.83058,0.83515,1.05495,0.30786,0.37317,0.8703,0.42463,0.5605
2.93099,0.60204,0.78184,0.70033,0.5861,0.10207,0.49132,0.39126,0.36991,0.43791
1.2094,,1.26918,0.75486,1.16519,0.12637,0.51473,0.59,0.29753,0.41819
1.26088,,0.75732,0.77294,0.3719,0.4863,0.39527,0.4021,0.27646,0.54417
,,1.32821,0.6374,0.27275,0.47564,0.61266,,0.25945,0.46765
,,1.28919,,0.45745,0.43484,0.57181,,0.32466,0.40362
,,0.54176,,0.58993,,0.57904,,,0.43981
,,,,0.413,,0.65289,,,
,,,,0.34123,,0.42555,,,
,,,,0.85849,,,,,
,,,,0.60485,,,,,
,,,,0.73491,,,,,
