P0,P1,P2,P3,P4,P5,P6,P7,P8,P9
-130.451,-109.8958,-106.3135,-104.167,-106.7421,-89.38,-99.9253,-107.9138,-99.7808,-102.0698
-145.98,-100.2146,-106.1154,-105.0218,-98.1246,-79.6468,-97.3485,-106.7502,-94.4762,-97.6679
-121.73,,-120.887,-104.6682,-102.762,-85.5614,-95.8394,-103.3773,-100.5846,-93.8991
-108.4703,,-109.5903,-108.0957,-88.1878,-103.4675,-95.8143,-96.5653,-92.7262,-109.5731
,,-126.433,-123.83,-92.421,-95.5894,-109.148,,-95.5807,-108.3909
,,-126.821,,-95.7415,-101.4062,-99.9989,,-98.6348,-112.38
,,-106.8601,,-107.1425,,-115.785,,,-114.698
,,,,-97.0405,,-109.7302,,,
,,,,-89.9907,,-101.8199,,,
,,,,-114.322,,,,,
,,,,-100.4033,,,,,
,,,,-101.778,,,,,
