P0,P1,P2,P3,P4,P5,P6,P7,P8,P9
-2.0091,0.9731,3.9511,3.3272,3.3994,10.8566,3.6631,2.3857,6.3782,3.9059
-6.5747,7.2391,-1.1887,8.0234,7.6221,4.879,6.7244,1.1744,7.0428,7.822
0.4417,,9.6235,8.6636,4.4918,12.6235,10.2314,3.5905,3.9975,9.8687
4.4078,,8.7026,6.0557,8.6343,5.6652,8.9398,6.2805,2.5064,0.9856
,,-2.4722,1.0853,1.8692,8.9082,7.1612,,3.1589,0.0944
,,0.7968,,8.0139,5.1819,7.4313,,5.175,0.1551
,,3.1592,,2.6911,,-0.2246,,,-0.2681
,,,,8.1354,,2.7574,,,
,,,,12.999,,6.7851,,,
,,,,0.0552,,,,,
,,,,9.2433,,,,,
,,,,6.805,,,,,
