P0,P1,P2,P3,P4,P5,P6,P7,P8,P9
43.858,20.9572,29.2435,32.465,30.8639,12.2538,6.9093,14.5502,9.5347,11.5182
52.921,20.4024,7.5006,36.2502,23.8834,4.879,13.3029,4.3769,9.0869,14.842
17.733,,17.766,22.7168,42.165,12.6235,19.6186,6.2752,7.0826,15.872
21.6957,,21.7987,17.6813,8.6343,17.4145,15.0091,9.9618,2.5064,5.4789
,,34.12,7.707,1.8692,15.6099,21.838,,3.1589,3.1424
,,13.262,,16.2812,14.7348,20.5171,,8.6559,0.771
,,17.4589,,12.6345,,3.217,,,0.718
,,,,16.9245,,10.6268,,,
,,,,19.327,,17.7871,,,
,,,,29.107,,,,,
,,,,28.9857,,,,,
,,,,29.701,,,,,
