P0,P1,P2,P3,P4,P5,P6,P7,P8,P9
-174.309,-130.853,-135.557,-136.632,-137.606,-101.6338,-106.8346,-122.464,-109.3155,-113.588
-198.901,-120.617,-113.616,-141.272,-122.008,-84.5258,-110.6514,-111.1271,-103.5631,-112.5099
-139.463,,-138.653,-127.385,-144.927,-98.1849,-115.458,-109.6525,-107.6672,-109.7711
-130.166,,-131.389,-125.777,-96.8221,-120.882,-110.8234,-106.5271,-95.2326,-115.052
,,-160.553,-131.537,-94.2902,-111.1993,-130.986,,-98.7396,-111.5333
,,-140.083,,-112.0227,-116.141,-120.516,,-107.2907,-113.151
,,-124.319,,-119.777,,-119.002,,,-115.416
,,,,-113.965,,-120.357,,,
,,,,-109.3177,,-119.607,,,
,,,,-143.429,,,,,
,,,,-129.389,,,,,
,,,,-131.479,,,,,
