P0,P1,P2,P3,P4,P5,P6,P7,P8,P9
0.748389355,0.839841654,0.784271561,0.762390948,0.775708181,0.879431843,0.935327132,0.881187941,0.912778151,0.898596683
0.733932962,0.830849714,0.93398289,0.743401382,0.804247262,0.942277979,0.879776487,0.960613568,0.912257358,0.86808272
0.872847996,,0.871867179,0.821668171,0.709060424,0.87143135,0.830080202,0.942771939,0.934217663,0.855408209
0.833322834,,0.834090373,0.859423424,0.910823046,0.855938022,0.864567411,0.906485767,0.973681281,0.952378924
,,0.787484507,0.941408121,0.980176095,0.859622318,0.833279893,,0.96800777,0.971825455
,,0.905327556,,0.8546616,0.873130075,0.829756215,,0.919322924,0.993186096
,,0.859563703,,0.894516476,,0.972966841,,,0.993779025
,,,,0.85149388,,0.911706008,,,
,,,,0.823203379,,0.851287132,,,
,,,,0.797063355,,,,,
,,,,0.775980184,,,,,
,,,,0.774100807,,,,,
