Cell_ID,ID,Firing_Pattern,Input_Resistance,Tau_Membrane,RMP,Spikes_200pA,Threshold_Current,AP_Amplitude,AP_Halfwidth,Voltage_Threshold,Max_DepolRate,Max_RepolRate,Sag_90mV,Depol_Block
12122022_S1C1,P4_TeNT,Tonic,0.3925,10.98,-66.67,32,40,59.5982,0.648458,-46.5523,271.399,-96.2018,5.885,1
12292022_S1C3,P4_TeNT,Tonic,0.4778,16.18,-71.43,27,20,43.7366,0.762477,-44.2685,124.358,-75.8665,5.358,1
12272023_S1C1,P4_TeNT,Tonic,0.4883,20.97,-61.56,17,30,39.7008,0.822825,-35.0081,111.062,-62.5703,10.267,1
12272023_S1C3,P4_TeNT,Tonic,0.567,21.37,-72.24,15,20,40.7735,0.980918,-45.8785,140.818,-47.5152,6.002,1
12272023_S2C1,P4_TeNT,Tonic,0.6585,21.64,-77.62,27,30,47.8975,0.630458,-45.0193,202.571,-91.509,0.185,0
01012024_S1C2,P4_TeNT,Tonic,0.6273,25,-70.12,34,30,56.0942,0.612112,-43.5489,267.488,-90.7269,3.104,1
01012024_S2C2,P4_TeNT,Tonic,0.5028,25.54,-65.26,27,20,48.7735,0.845012,-38.95,183.8,-62.5703,9.343,1
01012024_S2C3,P4_TeNT,Tonic,0.4145,13.96,-64.54,26,40,54.8116,0.844223,-43.6428,163.465,-67.263,9.569,0
01212024_S1C1,P4_TeNT,Tonic,0.3895,23.71,-60.14,22,20,56.9702,0.799131,-39.169,205.7,-69.6094,6.658,1
01212024_S1C3,P4_TeNT,Tonic,0.6148,32.13,-66.11,26,20,48.273,0.916378,-39.0751,146.258,-64.9166,2.15,0
01212024_S2C1,P4_TeNT,Tonic,0.6563,29.47,-64.2,29,20,43.3612,0.877169,-35.2583,141.565,-61.7881,8.365,0
01212024_S2C3,P4_TeNT,Tonic,0.4325,18.65,-73.12,34,35,52.5903,0.621975,-43.2986,249.499,-84.4699,3.736,1
01212024_S2C5,P4_TeNT,Tonic,0.3925,15.21,-68.56,33,60,57.0641,0.559896,-38.6684,295.645,-99.3303,7.479,0
04092024_S1C1,P4_TeNT,Tonic,0.4415,17.71,-69.53,25,20,50.5611,0.877256,-48.0135,187.66,-58.6085,3.588,1
11042024_S1C1,P4_TeNT,Phasic,0.162,9.92,-73.36,2,180,48.6797,0.645179,-42.0159,220.56,-82.1235,7.81,0
11042024_S1C3,P4_TeNT,Tonic,0.2838,13.9,-61.26,26,90,51.245,0.825159,-29.189,257.32,-68.8273,13.7,0
11122024_S1C1,P4_TeNT,Tonic,0.316,17.33,-69.55,12,50,44.2059,1.05795,-46.0517,168.94,-44.5813,9.033,1
11122024_S2C2,P4_TeNT,Tonic,0.3043,11.52,-64.94,38,90,51.4328,0.567239,-38.293,223.689,-100.112,5.094,0
11252024_S1C1,P4_TeNT,Tonic,0.2918,16.64,-71.98,23,50,53.216,0.572302,-40.483,265.141,-89.9448,5.842,1
11252024_S2C1,P4_TeNT,Tonic,0.4358,15.52,-73.84,32,70,43.5489,0.688335,-40.045,168.158,-71.9558,4.205,1
12172024_S2C1,P4_TeNT,Tonic,0.5258,20.67,-73.21,23,40,58.0965,0.667837,-48.8361,236.985,-83.6877,4.478,1
12122022_S1C2,P4_iMNTB,Tonic,0.2125,8.88,-75.23,22,160,47.5529,0.530047,-40.5379,268.049,-86.8625,5.42,1
12292022_S1C1,P4_iMNTB,Tonic,0.4645,22.12,-65.06,22,60,46.6461,0.741028,-43.2986,161.118,-75.8664,5.491,1
12292022_S1C2,P4_iMNTB,Tonic,0.2253,9.81,-76.27,21,100,55.625,0.536739,-44.8316,286.259,-97.7661,5.259,0
02012023_S1C1,P4_iMNTB,Tonic,0.3008,11.38,-80.06,18,180,45.3322,0.552444,-45.3322,363.69,-87.5984,2.944,1
02012023_S1C2,P4_iMNTB,Tonic,0.2253,10.68,-74.1,32,140,51.4328,0.434111,-42.1098,344.137,-112.626,6.496,0
12272023_S1C4,P4_iMNTB,Tonic,0.309,10.43,-76.36,21,50,45.426,0.679498,-42.9858,162.683,-79.7771,4.215,1
12272023_S2C2,P4_iMNTB,Tonic,0.2418,10.03,-76.05,21,135,44.769,0.623606,-44.6752,316.762,-76.6486,4.611,0
12272023_S3C2,P4_iMNTB,Tonic,0.4685,15.46,-62.84,20,50,48.5232,0.642792,-40.8897,212.739,-86.8163,7.315,1
01012024_S1C4,P4_iMNTB,Phasic,0.171,8.03,-75.87,2,200,44.6126,0.648915,-44.6126,211.957,-81.3413,5.179,0
01162024_S1C2,P4_iMNTB,Tonic,0.183,9.67,-61.47,22,140,51.683,0.600472,-36.6975,335.533,-93.0733,10.662,0
01212024_S1C2,P4_iMNTB,Phasic,0.161,9.02,-82.1,1,160,53.1222,0.526701,-50.8696,348.047,-100.112,3.098,0
01212024_S2C2,P4_iMNTB,Phasic,0.126,8.19,-71.8,3,140,47.4908,0.678303,-44.8316,281.566,-61.7881,8.001,1
04092024_S1C2,P4_iMNTB,Tonic,0.1573,9.61,-74.18,23,150,50.4004,0.673401,-45.645,287.041,-77.4307,4.965,1
11042024_S1C2,P4_iMNTB,Phasic,0.248,10.92,-71.912,3,100,42.3288,0.727934,-37.1042,187.711,-66.4809,6.178,1
11042024_S1C4,P4_iMNTB,Tonic,0.306,15.35,-75.34,27,70,42.6416,0.858686,-39.2941,197.878,-53.9669,3.23,1
11122024_S1C3,P4_iMNTB,Tonic,0.219,11.58,-73.24,20,120,40.483,0.841954,-39.8573,175.979,-53.1848,6.435,1
11122024_S2C1,P4_iMNTB,Phasic,0.1463,12.4,-76.72,2,150,37.9176,0.798204,-41.6405,225.253,-67.263,4.301,0
11252024_S2C3,P4_iMNTB,Tonic,0.2903,9.57,-78.08,26,90,54.7803,0.583188,-45.864,289.388,-100.895,2.189,0
12172024_S1C2,P4_iMNTB,Phasic,0.2323,13.86,-82.31,1,100,50.2439,0.568531,-47.0841,247.935,-97.7661,1.076,0
12172024_S3C2,P4_iMNTB,Phasic,0.3105,10.1,-77.44,1,120,59.5982,0.440325,-45.2383,369.947,-136.872,2.922,0
03032022_S1C2,P6_TeNT,Tonic,0.7025,26.01,-71.61,44,40,60.966,0.497431,-47.4952,393.808,-113.801,1.762,1
03172022_S1C1,P6_TeNT,Tonic,0.1875,8.02,-71.62,44,100,57.9088,0.346472,-43.6115,381.679,-185.364,6.803,1
03202022_S1C1,P6_TeNT,Tonic,0.2375,15.2,-75.48,24,80,48.711,0.610606,-45.5512,294.08,-81.3413,2.733,0
03282022_S1C1,P6_TeNT,Tonic,0.3875,16.58,-70.25,40,80,58.72222,0.444349,-41.1712,320.673,-136.09,4.381,0
06142022_S1C1,P6_TeNT,Tonic,0.3538,19.67,-79.14,36,80,63.9155,0.414156,-48.5545,443.467,-151.733,0.937,0
06142022_S1C2,P6_TeNT,Tonic,0.5132,34.96,-69.27,24,20,46.6744,0.680373,-39.2316,187.711,-80.5592,3.738,1
06142022_S2C1,P6_TeNT,Tonic,0.384,9.48,-71.28,37,60,69.8284,0.394322,-50.1501,504.473,-167.375,4.135,1
10122022_S3C1,P6_TeNT,Tonic,0.258,11.82,-66.85,51,60,60.5054,0.335243,-44.8942,382.461,-195.532,8.027,1
12312022_S1C1,P6_TeNT,Tonic,0.1575,8.24,-75.17,32,120,47.5221,0.465289,-39.7321,240.113,-113.409,5.529,1
12312022_S1C3,P6_TeNT,Tonic,0.6375,17.36,-71.19,49,20,59.3792,0.41137,-43.7679,346.483,-165.811,4.312,0
12312022_S2C1,P6_TeNT,Tonic,0.3,14.97,-64.9,41,80,50.0249,0.497783,-32.693,256.538,-108.716,9.063,0
12292023_S1C1,P6_TeNT,Tonic,0.291,11.91,-72.52,29,60,51.4328,0.619564,-42.7668,201.789,-94.6375,5.959,1
12292023_S1C3,P6_TeNT,Tonic,0.2449,9.58,-68.79,37,80,58.8786,0.451587,-42.9545,293.298,-144.694,7.165,1
12292023_S2C1,P6_TeNT,Tonic,0.2583,10.997,-77.8,36,100,66.0116,0.380214,-47.3344,439.556,-181.454,3.303,0
01182024_S1C1,P6_TeNT,Tonic,0.4833,12.65,-72.61,13,20,64.2284,0.950757,-51.1199,156.426,-86.8162,5.643,1
01232024_S1C1,P6_TeNT,Tonic,0.2635,16.94,-62.09,36,80,51.444,0.414213,-37.0272,283.802,-129.001,10.147,1
01192024_S1C1,P6_TeNT,Tonic,0.5075,17.75,-76.2,16,40,62.7267,1.32529,-49.0551,174.415,-49.2741,0.57,1
