P0,P1,P2,P3,P4,P5,P6,P7,P8,P9
-72.8369,-72.7954,-76.9915,-73.9426,-74.7723,-75.8412,-75.1065,-76.9367,-75.2184,-76.5653
-65.4953,-74.5586,-62.438,-78.5473,-77.7017,-69.0749,-70.6823,-81.8451,-71.2736,-75.9813
-72.2644,,-63.8305,-78.4446,-73.4307,-78.0057,-72.1421,-74.9593,-79.677,-72.2525
-70.3166,,-76.4028,-77.7587,-61.9031,-77.0786,-74.9453,-76.4629,-74.6845,-75.9018
,,-79.208,-78.9064,-65.8033,-72.9718,-76.8119,,-75.0772,-76.3027
,,-76.2401,,-74.7544,-77.599,-73.0343,,-76.358,-82.7725
,,-77.948,,-74.323,,-78.172,,,-82.2691
,,,,-74.1589,,-77.992,,,
,,,,-72.361,,-76.8333,,,
,,,,-75.093,,,,,
,,,,-77.0336,,,,,
,,,,-75.7714,,,,,
