P0,P1,P2,P3,P4,P5,P6,P7,P8,P9
1.6525,4.98546,11.4704,12.435,20.7463,13.3024,34.2596,28.7321,25.6699,23.2333
8.17296,8.62805,14.8245,18.3815,20.7755,17.6964,17.4705,34.1481,24.4235,9.36752
8.90326,,5.72316,11.385,14.1383,16.3721,21.1235,33.0837,25.677,25.0942
7.40397,,16.4362,6.4,15.6926,15.9835,9.97884,24.7978,26.1496,44.0862
,,13.4781,12.1142,12.4595,26.1516,24.5021,,22.3643,27.2858
,,11.7135,,13.6905,16.7622,24.5161,,22.5449,26.4442
,,12.2844,,9.00421,,21.4965,,,26.6863
,,,,15.261,,22.3228,,,
,,,,13.2056,,18.4721,,,
,,,,20.384,,,,,
,,,,21.6593,,,,,
,,,,18.8915,,,,,
